Model has been successfully loaded from models/lrw_resnet18_mstcn_adamw_s3.pth.tar
----------
Epoch 0/79
Current learning rate: 0.0003
[ 9102/10493 (87%)]	Loss: 1.6342	Acc:0.6645	Cost time:0.176 (0.177)s	Data time:0.022 (0.022)	Instances per second: 11.29
[ 9202/10493 (88%)]	Loss: 1.6289	Acc:0.6663	Cost time:0.176 (0.177)s	Data time:0.022 (0.022)	Instances per second: 11.29
[ 9302/10493 (89%)]	Loss: 1.6233	Acc:0.6675	Cost time:0.177 (0.177)s	Data time:0.022 (0.022)	Instances per second: 11.29
[ 9402/10493 (90%)]	Loss: 1.6158	Acc:0.6690	Cost time:0.176 (0.177)s	Data time:0.022 (0.022)	Instances per second: 11.29
[ 9502/10493 (91%)]	Loss: 1.6081	Acc:0.6702	Cost time:0.176 (0.177)s	Data time:0.022 (0.022)	Instances per second: 11.29
[ 9602/10493 (91%)]	Loss: 1.6014	Acc:0.6716	Cost time:0.175 (0.177)s	Data time:0.022 (0.022)	Instances per second: 11.29
[ 9702/10493 (92%)]	Loss: 1.5963	Acc:0.6729	Cost time:0.176 (0.177)s	Data time:0.022 (0.022)	Instances per second: 11.29
[ 9802/10493 (93%)]	Loss: 1.5890	Acc:0.6738	Cost time:0.176 (0.177)s	Data time:0.022 (0.022)	Instances per second: 11.29
[ 9902/10493 (94%)]	Loss: 1.5821	Acc:0.6749	Cost time:0.177 (0.177)s	Data time:0.022 (0.022)	Instances per second: 11.29
[10002/10493 (95%)]	Loss: 1.5785	Acc:0.6756	Cost time:0.176 (0.177)s	Data time:0.022 (0.022)	Instances per second: 11.29
[10102/10493 (96%)]	Loss: 1.5712	Acc:0.6774	Cost time:0.176 (0.177)s	Data time:0.022 (0.022)	Instances per second: 11.29
[10202/10493 (97%)]	Loss: 1.5677	Acc:0.6784	Cost time:0.176 (0.177)s	Data time:0.022 (0.022)	Instances per second: 11.29
[10302/10493 (98%)]	Loss: 1.5617	Acc:0.6798	Cost time:0.177 (0.177)s	Data time:0.022 (0.022)	Instances per second: 11.29
[10402/10493 (99%)]	Loss: 1.5543	Acc:0.6815	Cost time:0.176 (0.177)s	Data time:0.022 (0.022)	Instances per second: 11.28
[10493/10493 (100%)]	Loss: 1.5493	Acc:0.6823	Cost time:0.859 (0.177)s	Data time:0.022 (0.022)	Instances per second: 11.28
val Epoch:	 0	Loss val: 0.5270	Acc val:0.8640, LR: 0.0003
----------
Epoch 1/79
Current learning rate: 0.0003
[    2/10493 (0%)]	Loss: 0.0250	Acc:1.0000	Cost time:1.584 (1.584)s	Data time:1.411 (1.411)	Instances per second: 1.26
[  102/10493 (1%)]	Loss: 0.9396	Acc:0.8098	Cost time:0.175 (0.267)s	Data time:0.021 (0.113)	Instances per second: 7.50
